         TOF        Yobs       sYobs       Ycalc
     3715.79    63140.00      545.00    63214.00
     3717.64    62875.00      540.00    62210.00
     3719.51    60576.00      530.00    60609.00
     3721.38    58698.00      521.00    58572.00
     3723.23    56828.00      517.00    56348.00
     3725.09    54575.00      502.00    54135.00
     3726.95    52310.00      491.00    52097.00
     3728.82    51278.00      487.00    50388.00
     3730.69    48924.00      475.00    49071.00
     3732.56    47087.00      466.00    48141.00
     3734.43    47759.00      469.00    47531.00
     3736.29    47802.00      470.00    47156.00
     3738.16    46813.00      465.00    46932.00
     3740.03    46336.00      463.00    46881.00
     3741.90    47089.00      467.00    47061.00
     3743.77    47494.00      469.00    47576.00
     3745.64    49165.00      477.00    48488.00
     3747.50    49750.00      480.00    49747.00
     3749.37    52277.00      493.00    51156.00
     3751.24    52990.00      496.00    52413.00
     3753.12    52632.00      491.00    53219.00
     3755.01    52772.00      496.00    53337.00
     3756.88    53600.00      500.00    52749.00
     3758.76    52388.00      490.00    51585.00
     3760.64    50150.00      483.00    50031.00
     3762.51    48941.00      477.00    48330.00
     3764.39    47117.00      464.00    46638.00
     3766.28    45353.00      459.00    45108.00
     3768.16    44068.00      449.00    43814.00
     3770.04    43406.00      449.00    42779.00
     3771.93    41913.00      438.00    41980.00
     3773.83    41752.00      437.00    41350.00
     3775.71    41544.00      440.00    40813.00
     3777.59    40634.00      431.00    40283.00
     3779.49    40390.00      430.00    39699.00
     3781.38    39194.00      427.00    39070.00
     3783.26    39248.00      424.00    38398.00
     3785.16    38752.00      421.00    37736.00
     3787.06    37588.00      415.00    37103.00
     3788.94    36631.00      413.00    36515.00
     3790.82    36751.00      411.00    35955.00
     3792.72    36388.00      409.00    35401.00
     3794.62    35255.00      402.00    34854.00
     3796.52    34180.00      396.00    34311.00
     3798.42    33908.00      394.00    33787.00
     3800.32    34171.00      396.00    33302.00
     3802.22    33645.00      393.00    32887.00
     3804.12    33612.00      393.00    32565.00
     3806.02    33041.00      390.00    32373.00
     3807.93    32303.00      382.00    32318.00
     3809.84    32464.00      387.00    32472.00
     3811.74    32789.00      389.00    32787.00
     3813.64    33336.00      392.00    33228.00
     3815.54    33213.00      391.00    33715.00
     3817.46    33659.00      391.00    34167.00
     3819.37    34381.00      399.00    34483.00
     3821.27    34669.00      400.00    34570.00
     3823.18    33927.00      393.00    34487.00
     3825.10    34013.00      397.00    34223.00
     3827.01    33336.00      390.00    33832.00
     3828.93    33019.00      391.00    33376.00
     3830.84    32932.00      388.00    32885.00
     3832.75    32628.00      389.00    32419.00
     3834.67    31993.00      382.00    32005.00
     3836.60    31496.00      379.00    31645.00
     3838.51    31277.00      381.00    31366.00
     3840.43    31561.00      380.00    31195.00
     3842.35    30798.00      375.00    31180.00
     3844.27    30962.00      380.00    31380.00
     3846.18    31973.00      383.00    31859.00
     3848.11    32032.00      383.00    32675.00
     3850.04    33736.00      394.00    33843.00
     3851.97    35204.00      403.00    35329.00
     3853.90    36962.00      413.00    37037.00
     3855.81    39239.00      429.00    38852.00
     3857.73    40367.00      432.00    40619.00
     3859.66    41432.00      438.00    42184.00
     3861.59    42908.00      446.00    43381.00
     3863.52    43997.00      452.00    44067.00
     3865.46    43733.00      448.00    44200.00
     3867.41    43997.00      453.00    43815.00
     3869.34    42890.00      447.00    43046.00
     3871.27    41435.00      439.00    42048.00
     3873.20    40659.00      435.00    40998.00
     3875.14    39828.00      427.00    39984.00
     3877.09    38081.00      421.00    39079.00
     3879.01    37435.00      417.00    38303.00
     3880.94    37053.00      415.00    37625.00
     3882.89    35796.00      405.00    37000.00
     3884.83    36089.00      410.00    36392.00
     3886.78    34612.00      399.00    35775.00
     3888.72    33736.00      397.00    35151.00
     3890.67    33581.00      393.00    34525.00
     3892.61    33101.00      393.00    33926.00
     3894.56    32857.00      389.00    33381.00
     3896.50    32093.00      387.00    32937.00
     3898.45    32160.00      385.00    32638.00
     3900.41    31691.00      382.00    32554.00
     3902.35    32335.00      389.00    32787.00
     3904.30    32619.00      388.00    33431.00
     3906.26    33940.00      396.00    34596.00
     3908.22    35785.00      407.00    36305.00
     3910.16    37080.00      418.00    38447.00
     3912.11    40397.00      433.00    40814.00
     3914.07    42774.00      446.00    43088.00
     3916.03    44575.00      456.00    44896.00
     3917.99    45465.00      461.00    45981.00
     3919.95    46111.00      464.00    46259.00
     3921.91    45308.00      460.00    45823.00
     3923.87    44812.00      458.00    44878.00
     3925.83    44126.00      455.00    43663.00
     3927.79    42226.00      445.00    42396.00
     3929.75    40462.00      435.00    41248.00
     3931.72    39158.00      425.00    40340.00
     3933.70    38769.00      426.00    39769.00
     3935.66    39265.00      429.00    39583.00
     3937.62    39201.00      429.00    39782.00
     3939.59    40049.00      430.00    40304.00
     3941.57    40377.00      436.00    41059.00
     3943.53    41088.00      440.00    41910.00
     3945.50    42011.00      442.00    42772.00
     3947.48    43064.00      451.00    43587.00
     3949.46    43609.00      450.00    44323.00
     3951.43    44538.00      459.00    44964.00
     3953.41    44997.00      458.00    45464.00
     3955.38    44780.00      461.00    45740.00
     3957.36    44806.00      457.00    45703.00
     3959.33    44613.00      460.00    45297.00
     3961.31    43357.00      450.00    44529.00
     3963.30    42294.00      445.00    43466.00
     3965.27    40745.00      440.00    42232.00
     3967.25    40009.00      432.00    40930.00
     3969.24    38659.00      425.00    39636.00
     3971.23    37571.00      419.00    38414.00
     3973.22    36107.00      411.00    37290.00
     3975.20    35623.00      411.00    36264.00
     3977.17    34920.00      404.00    35359.00
     3979.16    34007.00      399.00    34538.00
     3981.16    33143.00      394.00    33808.00
     3983.15    33059.00      393.00    33149.00
     3985.14    31889.00      386.00    32620.00
     3987.13    31752.00      386.00    32202.00
     3989.13    31610.00      382.00    31934.00
     3991.14    31001.00      381.00    31865.00
     3993.13    30987.00      381.00    32038.00
     3995.12    32331.00      390.00    32471.00
     3997.11    32768.00      393.00    33146.00
     3999.12    34243.00      399.00    33968.00
     4001.12    34552.00      404.00    34793.00
     4003.11    34976.00      406.00    35460.00
     4005.12    35326.00      406.00    35857.00
     4007.13    35174.00      408.00    35935.00
     4009.12    35092.00      408.00    35724.00
     4011.12    34462.00      401.00    35306.00
     4013.13    34134.00      402.00    34796.00
     4015.14    33963.00      398.00    34308.00
     4017.14    33234.00      397.00    33945.00
     4019.15    33298.00      395.00    33801.00
     4021.17    33228.00      394.00    33960.00
     4023.18    34182.00      403.00    34484.00
     4025.18    34901.00      405.00    35405.00
     4027.20    36226.00      413.00    36736.00
     4029.22    37552.00      420.00    38389.00
     4031.23    40057.00      438.00    40267.00
     4033.24    41187.00      441.00    42286.00
     4035.26    43594.00      454.00    44367.00
